Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/health,50,0,290.0,862.0434779982315,37.78240000247024,3040.9079999953974,82.0,0.12723592327465216,0.0,500,720,1300,2100,3000,3000,3000,3000,3000,3000,3000
POST,Batch Predict,465,0,590.0,1335.3126554843789,7.770399999571964,23226.838000002317,274.81290322580645,1.1832940864542651,0.0,590,960,1300,1500,2700,3900,14000,16000,23000,23000,23000
GET,Get Model Uptime,934,2,540.0,1433.3617516054933,5.857999989530072,31783.345700008795,119.54603854389721,2.376767046770502,0.005089436930986086,550,940,1400,1600,2700,4500,14000,22000,32000,32000,32000
GET,Get Stats,412,0,570.0,1332.4541871358094,10.86899999063462,22977.54000002169,293.0,1.0484240077831337,0.0,570,980,1200,1500,2800,4200,9600,22000,23000,23000,23000
GET,Health Check,1355,1,590.0,1176.2101785971215,6.320799991954118,30130.44679997256,81.93948339483394,3.4480935207430736,0.002544718465493043,590,930,1200,1500,2400,3700,8000,15000,23000,30000,30000
POST,Predict Single Image,2388,210,770.0,1567.5298384839348,111.948100005975,30141.819799988298,259.67713567839195,6.076787695597387,0.5343908777535391,770,1200,1500,1900,3000,4500,13000,22000,23000,30000,30000
,Aggregated,5604,213,670.0,1407.705140274512,5.857999989530072,31783.345700008795,195.46698786581013,14.260602280623013,0.5420250331500182,670,1000,1400,1700,2800,4200,10000,17000,23000,32000,32000
